equipment_id,name,part,slot,item_type,level_limit,set_name
equipment_f5cbb9e8ca8b6f19449c,하이네스 원더러햇,모자,모자,equipment,150,루타비스 세트
equipment_0bf35a76e15590bcbb26,루즈 컨트롤 머신 마크,얼굴장식,얼굴장식,equipment,160,
equipment_4a31ad8e4423a3838eb6,마력이 깃든 안대,눈장식,눈장식,equipment,160,
equipment_6ab2f1020ea228850274,커맨더 포스 이어링,귀고리,귀고리,equipment,200,
equipment_92cf9fbf9614bce1c052,이글아이 원더러코트,상의,상의,equipment,150,
equipment_f56f680b1aaf5270bb9d,트릭스터 원더러팬츠,하의,하의,equipment,150,
equipment_c4782c6715f2325d7172,아케인셰이드 파이렛슈즈,신발,신발,equipment,200,아케인셰이드 세트
equipment_d09b5c996f063ba8c6f3,아케인셰이드 파이렛글러브,장갑,장갑,equipment,200,아케인셰이드 세트
equipment_af9e7f339efe7a385f96,아케인셰이드 파이렛케이프,망토,망토,equipment,200,아케인셰이드 세트
equipment_945b98838c09b37842d4,이터널 매그넘,매그넘,보조무기,equipment,100,
equipment_e1ca1aefb6ae71ff7c42,제네시스 피스톨,건,무기,equipment,200,
equipment_4e73ac3724bfb29ad1fa,리스트레인트 링,반지,반지1,equipment,110,
equipment_9280f30b2a0747662e44,거대한 공포,반지,반지2,equipment,200,
equipment_cc56c731680689977dc8,마이스터링,반지,반지3,equipment,140,
equipment_39865fbae9f24a96efb3,여명의 가디언 엔젤 링,반지,반지4,equipment,160,
equipment_f9f61a716fc9ebb5c27a,고통의 근원,펜던트,펜던트,equipment,160,
equipment_f5236cf823be65c67856,칠요의 몬스터파커,훈장,훈장,equipment,100,
equipment_37cf76ce46bad8c34f73,몽환의 벨트,벨트,벨트,equipment,200,
equipment_e04245a5111d5e6f25ff,아케인셰이드 파이렛숄더,어깨장식,어깨장식,equipment,200,아케인셰이드 세트
equipment_78fbeaf827daf7df184c,저주받은 녹의 마도서,포켓 아이템,포켓 아이템,equipment,160,
equipment_26c9e73ca73899047a4c,플라즈마 하트,기계 심장,기계 심장,equipment,130,
equipment_6b3c38e169b05605edcd,크리스탈 웬투스 뱃지,뱃지,뱃지,equipment,130,
equipment_773447f2d89c68f6e9ab,미트라의 분노 : 해적,엠블렘,엠블렘,equipment,200,
equipment_61890924f0dfb194ad93,데이브레이크 펜던트,펜던트,펜던트2,equipment,140,
equipment_8a762de36262cfbdbb07,컨티뉴어스 링,반지,예비 특수 반지,equipment,110,
equipment_5e8c931e70ef15587f4d,하이네스 어새신보닛,모자,모자,equipment,150,루타비스 세트
equipment_d1c13bfe6ea2f18127e1,트와일라이트 마크,얼굴장식,얼굴장식,equipment,140,
equipment_2067e0eda9a8d9bd3ba1,파풀라투스 마크,눈장식,눈장식,equipment,145,
equipment_79cdbe1ddbaf346ea621,이글아이 어새신셔츠,상의,상의,equipment,150,
equipment_116c24d40bed28bc33d0,트릭스터 어새신팬츠,하의,하의,equipment,150,
equipment_fa3afbf70ede1af30ba5,아케인셰이드 시프슈즈,신발,신발,equipment,200,아케인셰이드 세트
equipment_a195b3cb7b0f23c2ed80,아케인셰이드 시프글러브,장갑,장갑,equipment,200,아케인셰이드 세트
equipment_cbd045bba1bafbd5d997,아케인셰이드 시프케이프,망토,망토,equipment,200,아케인셰이드 세트
equipment_02697f589cab4b767865,아스트라 베인 실드,방패,보조무기,equipment,200,
equipment_099a4fdb5f604d0fbbb7,제네시스 대거,단검,무기,equipment,200,
equipment_9c379d52bd6890403577,어웨이크 링,반지,반지1,equipment,120,
equipment_a5eee0848907f52066e1,글로리온 링 : 슈프림,반지,반지2,equipment,120,
equipment_040b895633f3aa57a89e,SS급 마스터 쥬얼링,반지,반지3,equipment,120,
equipment_3772070e251f3488e86d,그리드 펜던트,펜던트,펜던트,equipment,75,
equipment_9d741c573893308d0dcb,아케인셰이드 시프숄더,어깨장식,어깨장식,equipment,200,아케인셰이드 세트
equipment_c075cc7320d9d91a8eb0,저주받은 황의 마도서,포켓 아이템,포켓 아이템,equipment,160,
equipment_a9c647ad7d8f9fde202c,칠요의 뱃지,뱃지,뱃지,equipment,100,
equipment_fe09b32a63a3ef6e2c77,골드 메이플리프 엠블렘,엠블렘,엠블렘,equipment,100,
equipment_f1eb086da50bb3a47906,에테르넬 메이지햇,모자,모자,equipment,250,에테르넬 세트
equipment_0e0412d2dca8c19a2014,레드 매지션 마이스터 심볼,얼굴장식,얼굴장식,equipment,100,
equipment_73d3dbbda0b6d1b99b35,미카엘라의 새 안경,눈장식,눈장식,equipment,90,
equipment_ff980fb66f6425a5382c,하프 이어링,귀고리,귀고리,equipment,75,
equipment_8f989fc5818c42ed6f45,에테르넬 메이지로브,상의,상의,equipment,250,에테르넬 세트
equipment_6e57ca07b17949ea2110,에테르넬 메이지팬츠,하의,하의,equipment,250,에테르넬 세트
equipment_4557bf03f8457e3a396a,앱솔랩스 메이지슈즈,신발,신발,equipment,160,앱솔랩스 세트
equipment_66269d58e2400d35959f,앱솔랩스 메이지글러브,장갑,장갑,equipment,160,앱솔랩스 세트
equipment_ff172e64163811bf3cd4,앱솔랩스 메이지케이프,망토,망토,equipment,160,앱솔랩스 세트
equipment_3ba8f6c14c9586ae9608,아스트라 체스피스 디 킹,체스피스,보조무기,equipment,200,
equipment_cef3f655ed92110b7b0a,제네시스 ESP리미터,ESP 리미터,무기,equipment,200,
equipment_b5a334108ac42e54d68e,마이스터 올마이티링,반지,반지1,equipment,75,
equipment_f4a46d7cb711ff078550,마이스터링,반지,반지2,equipment,140,
equipment_477e83dcd97a6698f9c0,아크로드의 마이스터 이터널 링,반지,반지3,equipment,90,
equipment_35709bd990d2560d0374,가디언 엔젤 링,반지,반지4,equipment,160,
equipment_06e15f94bba2b95f2e90,앱솔랩스 메이지숄더,어깨장식,어깨장식,equipment,160,앱솔랩스 세트
equipment_f376d55437620d890b64,저주받은 청의 마도서,포켓 아이템,포켓 아이템,equipment,160,
equipment_37632634dbb9badae606,컴플리트 언더컨트롤,기계 심장,기계 심장,equipment,200,
equipment_109fc5c3ef7b79cf9631,창세의 뱃지,뱃지,뱃지,equipment,200,
equipment_3d9f96a0087a36fb916c,미트라의 분노 : 마법사,엠블렘,엠블렘,equipment,200,
equipment_ec448465d9bf7d5ef842,고통의 근원,펜던트,펜던트2,equipment,160,
equipment_93108a0168aa882db545,에테르넬 아처햇,모자,모자,equipment,250,에테르넬 세트
equipment_e9b8810507e6384d2b8d,에테르넬 아처후드,상의,상의,equipment,250,에테르넬 세트
equipment_70009129b01955296bea,에테르넬 아처팬츠,하의,하의,equipment,250,에테르넬 세트
equipment_02ba306c759951dde4f7,아케인셰이드 아처슈즈,신발,신발,equipment,200,아케인셰이드 세트
equipment_31c9f5a2d43faf448732,에테르넬 아처글러브,장갑,장갑,equipment,250,에테르넬 세트
equipment_d243fc9b1765bd6aa9be,아케인셰이드 아처케이프,망토,망토,equipment,200,아케인셰이드 세트
equipment_4087e9689394806f0980,아스트라 마법 화살,마법화살,보조무기,equipment,200,
equipment_1268e6ce8d99487b0295,데스티니 듀얼보우건,듀얼 보우건,무기,equipment,250,
equipment_0f229a8eb3314a6f64d8,여명의 가디언 엔젤 링,반지,반지3,equipment,160,
equipment_c0c337bad81641389789,마이스터링,반지,반지4,equipment,140,
equipment_cca6ad7cc1c0aa19e6f6,아케인셰이드 아처숄더,어깨장식,어깨장식,equipment,200,아케인셰이드 세트
equipment_7854c55ee720e4d42184,미트라의 분노 : 궁수,엠블렘,엠블렘,equipment,200,
equipment_14c08a17bc1d5c8b797d,에테르넬 파이렛햇,모자,모자,equipment,250,에테르넬 세트
equipment_43c43610cf242d868c8f,블랙빈 마크,눈장식,눈장식,equipment,135,
equipment_23a04387ec85a0c1e5db,에테르넬 파이렛코트,상의,상의,equipment,250,에테르넬 세트
